LOAD NO.,CONTAINER NO.,SIZE,SSL,TERMINAL,EXPORT BOOKING NO.,ETA,LFD,CUSTOMS,FREIGHT,PICK-UP STATUS,GATE OUT DATE,EST. DELIVERY DATE,ACTUAL DELIVERY DATE,EMPTY READY FOR P/U,EMPTY RETURN P/U,DELIVERY LOCATION,CUSTOMER,CC,NOTES
1372,WHSU4040440,40GP,WHLC,GLOBAL (GCT),,12/27/2021,1/7/2022,RELEASED,RELEASED,AVAILABLE,1/12/2022,,1/14/2022,,14-Jan,"AVENEL, NJ",MG,VH,PLT
1371,WHSU2452840,20GP,WHLC,GLOBAL (GCT),,12/22/2021,,RELEASED,RELEASED,dELIVERED,1/3/2022,,1/11/2022,,12-Jan,"SADDLE BROOK, NJ",MG,VH,PLT
1369,TCLU3426364,20GP,ONEY,GLOBAL (GCT),,12/21/2021,,RELEASED,RELEASED,IN-YARD,1/3/2022,1/13/2022,1/13/2022,,13-Jan,"AVENEL, NJ",MG,VH,PLT
1370,TCLU7362355,20GP,ONEY,GLOBAL (GCT),,12/21/2021,,RELEASED,RELEASED,IN-YARD,1/3/2022,1/13/2022,1/13/2022,,13-Jan,"AVENEL, NJ",MG,VH,PLT
1388,TLLU3423511,20GP,MEDU,GLOBAL (GCT),,12/26/2021,11-Jan,RELEASED,RELEASED,,1/11/2022,,1/14/2022,,14-Jan,"SADDLE BROOK, NJ",MG,VH,PLT
1358,ZGXU3033199,20GP,TJFH,APMT,,12/20/2021,12/23/2021,RELEASED,RELEASED,IN-YARD,12/22/2021,,1/12/2022,,,"SADDLE BROOK, NJ",MG,VH,FL
1390,MSDU2367119,20GP,MEDU,GLOBAL (GCT),,12/26/2021,6-Jan,RELEASED,RELEASED,,1/6/2022,,1/19/2022,,19-Jan,"sADDLE BROOK, NJ",MG,VH,PLT
1408,CICU1824393,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/13/2022,,18-Jan,,,"AvENEL, NJ",MG,VH,FL
1426,TCLU3166800,20GP,ONEY,GLOBAL (GCT),,1/4/2022,18-Jan,RELEASED,RELEASED,AVAILABLE,1/18/2022,1/21/2022,1/20/2022,,,"AVENEL, NJ",MG,VH,PLT
1424,BEAU2154614,20GP,ONEY,GLOBAL (GCT),,1/4/2022,18-Jan,RELEASED,RELEASED,AVAILABLE,1/18/2022,1/19/2022,1/19/2022,,,"AVENEL, NJ",MG,VH,PLT
1443,BMOU1237637,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,17-Jan,RELEASED,RELEASED,Released,1/17/2022,1/19/2022,1/19/2022,,,"AvENEL, NJ",MG,VH,PLT
1423,MOAU6762336,20GP,ONEY,GLOBAL (GCT),,1/4/2022,18-Jan,RELEASED,RELEASED,AVAILABLE,1/18/2022,1/20/2022,1/20/2022,,,"AVENEL, NJ",MG,VH,PLT
1208,TCNU5503636,40HC,CMA-CGM,MAHER,,11/11/2021,11/25/2021,RELEASED,RELEASED,DELIVERED,11/23/2021,12/8/2021,12/8/2021,,,"SADDLE BROOK, NJ",MG,VH,PLT
1365,TFLU4852694,40HC,TJFH,APMT,,12/20/2021,12/23/2021,RELEASED,RELEASED,IN-YARD,12/28/2021,,,,17-Jan,"SADDLE BROOK, NJ",MG,VH,FL
1412,CICU1824768,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/12/2022,1/18/2022,1/18/2022,,,"AvENEL, NJ",MG,VH,FL
1401,CICU1828450,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/12/2022,1/17/2022,1/17/2022,,,"AVENEL, NJ",MG,VH,FL
1447,TEMU2946965,20GP,COSU,MAHER,,1/11/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/13/2022,1/19/2022,1/19/2022,,,"sADDLE BROOK, NJ",MG,VH,PLT
1432,WHLU0497691,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,17-Jan,RELEASED,RELEASED,Released,1/17/2022,1/17/2022,1/19/2022,,,"SADDLE BROOK, NJ",MG,VH,PLT
1387,TLLU3423785,20GP,MEDU,GLOBAL (GCT),,12/26/2021,11-Jan,RELEASED,RELEASED,,1/11/2022,1/17/2022,1/17/2022,,,"SADDLE BROOK, NJ",MG,VH,PLT
1434,CSLU1811849 ,20GP,COSU,MAHER,,1/8/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/13/2022,1/18/2022,1/18/2022,,,"SADDLE BROOK, NJ",MG,VH,PLT
1367,TEMU0608146 ,20GP,ONEY,GLOBAL (GCT),,12/21/2021,,RELEASED,RELEASED,IN-YARD,1/3/2022,1/17/2022,1/17/2022,,17-Jan,"Avnel, NJ",MG,VH,PLT
1389,TCLU7634303,20GP,MEDU,GLOBAL (GCT),,12/26/2021,11-Jan,RELEASED,RELEASED,,1/17/2022,1/20/2022,1/20/2022,,,"SADDLE BROOK, NJ",MG,VH,PLT
1404,CICU2543106,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,Available,1/13/2022,1/20/2022,1/20/2022,,,"AVENEL, NJ",MG,VH,FL
1442,WHLU0526552,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,17-Jan,RELEASED,RELEASED,Released,1/17/2022,1/21/2022,1/21/2022,,,"Monroe,NJ",MG,VH,PLT
1425,NYKU3123902,20GP,ONEY,GLOBAL (GCT),,1/4/2022,18-Jan,RELEASED,RELEASED,AVAILABLE,1/18/2022,1/21/2022,1/21/2022,,,"Monroe,NJ",MG,VH,PLT
1421,NYKU3676507,20GP,ONEY,GLOBAL (GCT),,1/4/2022,18-Jan,RELEASED,RELEASED,AVAILABLE,1/18/2022,1/25/2022,1/21/2022,,,"SADDLE BROOK, NJ",MG,VH,PLT
1433,CSNU1074707,20GP,COSU,MAHER,,1/8/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/13/2022,1/18/2022,1/18/2022,,,"SADDLE BROOK, NJ",MG,VH,PLT
1431,WHSU2495142,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,17-Jan,RELEASED,RELEASED,Released,1/17/2022,1/17/2022,1/19/2022,,,"SADDLE BROOK, NJ",MG,VH,PLT
1448,CXDU1324181,20GP,COSU,MAHER,,1/11/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/13/2022,1/19/2022,1/19/2022,,,"SADDLE BROOK, NJ",MG,VH,PLT
1409,CICU2243541,20GP,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,AVAILABLE,1/13/2022,1/18/2022,1/18/2022,,18-Jan,"AvENEL, NJ",MG,VH,PLT
1449,WHSU2414773,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,20-Jan,RELEASED,RELEASED,AVAILABLE,1/19/2022,1/24/2022,,,,"Saddle BROOK, NJ",MG,VH,PLT
1361,TFLU4803771,40HC,TJFH,APMT,,12/20/2021,12/23/2021,RELEASED,RELEASED,IN-YARD,12/28/2021,1/17/2022,1/17/2022,24-Jan,,"Saddle BROOK, NJ",MG,VH,FL
1441,LYGU6147882,20GP,COSU,MAHER,,1/10/2022,17-Jan,reLEASED,RELEASED,released,1/17/2022,1/24/2022,,,,"AveNEL, NJ",MG,VH,PLT
1453,CAIU3128888,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,20-Jan,RELEASED,RELEASED,AVAILABLE,1/20/2022,1/24/2022,,,,"Saddle BROOK, NJ",MG,VH,PLT
1396,MOAU6767180,20GP,ONEY,Global (GCT),,1/3/2022,20-Jan,RELEASED,RELEASED,AVAILABLE,1/19/2022,1/24/2022,,,,"AVENEL, NJ",MG,VH,PLT
1415,TCLU2922143,20GP,ONEY,GLOBAL (GCT),,1/5/2022,18-Jan,RELEASED,RELEASED,AVAILABLE,1/17/2022,1/24/2022,,,,"Monroe,NJ",MG,VH,PLT
1454,WHSU2513040,20GP,WHLC - WAN HAI LINES LTD,GLOBAL (GCT),,1/10/2022,20-Jan,RELEASED,RELEASED,AVAILABLE,1/20/2022,1/28/2022,,,,"Saddle BROOK, NJ",MG,VH,PLT
1440,LYGU6147917,20GP,COSU,MAHER,,1/10/2022,17-Jan,reLEASED,RELEASED,released,1/17/2022,1/28/2022,,,,"SADDLE BROOK, NJ",MG,VH,PLT
1406,CICU2543214,40HC,LLHP,PNCT,,1/4/2022,13-Jan,RELEASED,RELEASED,Available,1/13/2022,1/26/2022,,,31-Jan,"Wayne,nj",MG,VH,FL
1420,MOAU6720768,20GP,ONEY,GLOBAL (GCT),,1/4/2022,18-Jan,RELEASED,RELEASED,AVAILABLE,1/17/2022,1/27/2022,,,,"SADDLE BROOK, NJ",MG,VH,PLT
1386,SEGU3060722,20GP,MEDU,GLOBAL (GCT),,12/26/2021,11-Jan,RELEASED,RELEASED,,1/17/2022,1/26/2022,,,26-Jan,"SADDLE BROOK, NJ",MG,VH,PLT
